date,sku,category,price,stock,forecast_gmv,actual_units
2025-12-01,100,beverages,10000,30,400000,28
2025-12-01,200,beverages,7000,120,350000,55
2025-12-01,300,beverages,12000,40,500000,39
2025-12-01,400,dairy,15000,0,180000,0
2025-12-02,100,beverages,10000,20,420000,19
2025-12-02,200,beverages,7000,40,420000,39
2025-12-02,300,beverages,12000,10,480000,10
2025-12-02,400,dairy,15000,5,210000,5
2025-12-03,100,beverages,10000,0,350000,0
2025-12-03,200,beverages,7000,25,210000,25
2025-12-03,300,beverages,12000,5,240000,5
2025-12-03,400,dairy,15000,2,150000,2
